tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,label
3000640,283650,True,Wed Nov 29 02:32:41 +0000 2017,@Ask_Spectrum my internet has been down for 3 hours everywhere I go. When will it be fixed?,,,Network & Connectivity
3000291,204423,True,Wed Feb 28 12:32:29 +0000 2018,@sprintcare never agreed to paperless billing but I'm getting charged a $15 fee for paper statements.,,,Billing & Payment
3001653,557567,True,Tue Jan 09 04:07:28 +0000 2018,@sprintcare Bluetooth on my device stopped working after your last software update.,,,Device & Technical Support
3001917,267805,True,Sun Dec 03 07:37:43 +0000 2017,@TMobileHelp I added all my lines but they're not showing up anywhere on my account dashboard.,,,Account & Plan Management
3002737,275326,True,Sun Nov 19 18:18:07 +0000 2017,@Ask_Spectrum please confirm my cancellation request is being processed. I submitted it 2 weeks ago.,,,Cancellation & Retention
3001785,380756,True,Mon Nov 27 14:16:02 +0000 2017,@Ask_Spectrum cable box is frozen and won't respond to the remote. Rebooted it 3 times.,,,Device & Technical Support
3000175,576297,True,Thu Nov 30 11:06:43 +0000 2017,@ATT being charged $100 per month more than my contract states. Please fix it.,,,Billing & Payment
3000587,613704,True,Sat Jan 13 18:42:45 +0000 2018,@TMobileHelp can someone explain this $120 charge on my bill? I never agreed to this.,,,Billing & Payment
3001286,324313,True,Sun Jan 21 01:15:59 +0000 2018,@ATT mobile hotspot isn't showing up on any of my other devices everywhere I go.,,,Device & Technical Support
3000122,421797,True,Sun Feb 18 18:27:19 +0000 2018,@sprintcare you issued a $100 credit 10 days ago that still hasn't shown up.,,,Billing & Payment
3000635,326818,True,Fri Jan 05 11:24:30 +0000 2018,@ATT my entire building lost service 2 hours ago on my street. Are you aware of this?,,,Network & Connectivity
3001751,324393,True,Sat Feb 10 19:45:23 +0000 2018,@Ask_Spectrum apps are loading super slowly only on your network on my street. Fine on WiFi.,,,Device & Technical Support
3002395,727101,True,Mon Jan 01 21:29:07 +0000 2018,@VerizonSupport trying to upgrade my plan but the website won't let me change it after 5 times.,,,Account & Plan Management
3001194,435903,True,Wed Nov 08 20:40:06 +0000 2017,@ATT can't make or receive calls at work. This has been going on for a week.,,,Network & Connectivity
3000235,495709,True,Thu Jan 25 18:28:29 +0000 2018,@TMobileHelp been a loyal customer for 7 years and you raised my rate $30 with no warning.,,,Billing & Payment
3000798,368771,True,Sun Dec 24 12:49:02 +0000 2017,@Ask_Spectrum my upload speed is 8Mbps on a 500Mbps plan everywhere I go. Problem in my area?,,,Network & Connectivity
3000549,282892,True,Sat Feb 24 12:01:14 +0000 2018,@TMobileHelp my bill for this month is $30 higher than last month with no plan changes.,,,Billing & Payment
3000371,634139,True,Fri Feb 16 13:41:50 +0000 2018,@VerizonSupport where is my refund of $25? It has been 2 days and I still haven't received anything.,,,Billing & Payment
3001152,429987,True,Wed Feb 21 09:13:11 +0000 2018,@ATT I'm getting 10Mbps on a 1Gbps plan at home. Can someone look into this?,,,Network & Connectivity
3000341,474663,True,Wed Nov 15 05:34:25 +0000 2017,@ATT I disputed a charge a month ago. Still waiting for a resolution.,,,Billing & Payment
3001474,979812,True,Sun Dec 03 18:32:19 +0000 2017,@Ask_Spectrum visual voicemail has been broken for a month. Every fix you suggest doesn't work.,,,Device & Technical Support
3001720,679810,True,Sun Dec 31 09:06:14 +0000 2017,@Ask_Spectrum my set-top box keeps rebooting on its own. Shows ERR-500 each time.,,,Device & Technical Support
3002924,186231,True,Tue Oct 31 15:59:00 +0000 2017,@ATT just want a simple cancellation. Why does this have to be so difficult after 5 times tries?,,,Cancellation & Retention
3000418,863905,True,Tue Dec 26 17:13:27 +0000 2017,@VerizonSupport I disputed a charge 3 weeks ago. Still waiting for a resolution.,,,Billing & Payment
3000396,899245,True,Tue Dec 12 13:06:00 +0000 2017,@Ask_Spectrum I cancelled my service last month and you still charged me $75. Fix this now.,,,Billing & Payment
3000988,272062,True,Wed Jan 03 07:53:12 +0000 2018,@VerizonSupport dropped calls every single day at work. Fix this.,,,Network & Connectivity
3002702,177201,True,Sat Nov 18 23:39:14 +0000 2017,@TMobileHelp I never signed a new contract but you're charging a $75 early termination fee.,,,Cancellation & Retention
3001749,421166,True,Wed Nov 15 13:18:46 +0000 2017,@sprintcare the network unlock code you gave me is not working. Tried twice.,,,Device & Technical Support
3001678,264037,True,Mon Feb 19 19:41:03 +0000 2018,@ATT my Android keeps dropping from the network on my street. Restarted 3 times already.,,,Device & Technical Support
3001350,953430,True,Sat Feb 03 06:47:41 +0000 2018,@TMobileHelp getting E-27 when I try to activate my new Android. Been 3 hours now.,,,Device & Technical Support
3001477,794405,True,Sun Jan 21 12:52:24 +0000 2018,@sprintcare my phone won't connect to LTE anymore in my area. Only shows 3G.,,,Device & Technical Support
3000401,569450,True,Wed Jan 31 22:28:20 +0000 2018,@sprintcare my promotional discount disappeared from my bill 2 days ago with no notice.,,,Billing & Payment
3001101,959352,True,Thu Nov 23 06:11:05 +0000 2017,@sprintcare restarted the router multiple times in my area and still getting 5Mbps. Need help.,,,Network & Connectivity
3001326,113281,True,Sat Jan 20 10:01:40 +0000 2018,@sprintcare tried calling tech support several times about my Android and never got a resolution.,,,Device & Technical Support
3001963,239469,True,Wed Jan 31 23:37:43 +0000 2018,@ATT you're billing me under the wrong name. Tried to fix this 5 times.,,,Account & Plan Management
3001298,585637,True,Wed Dec 06 12:35:38 +0000 2017,@sprintcare data stopped working on my Samsung after I switched SIM cards. Help.,,,Device & Technical Support
3002764,285162,True,Tue Oct 31 20:57:59 +0000 2017,@TMobileHelp I never signed a new contract but you're charging a $150 early termination fee.,,,Cancellation & Retention
3002698,783757,True,Tue Feb 06 16:37:54 +0000 2018,@Ask_Spectrum I was promised no cancellation fee but now you're saying there is one of $120. Explain.,,,Cancellation & Retention
